duty_name,duty_code,duty_addr,wgs84Lon,wgs84Lat
근로복지공단태백병원,A2200004,강원특별자치도 태백시 보드미길 8 (장성동),129.0042870499601,37.10404228529155
금일마취통증의학과의원,A2600667,"전라남도 완도군 금일읍 감목길 5, 금일마취통증의학과의원",127.0297611902535,34.349483798831656
기쁨병원,A1122033,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",127.018063486739,37.482713030212
김제우석병원,A2500038,전북특별자치도 김제시 서암4길 45 (서암동),126.87969956139741,35.80673935689978
나사렛종합병원,A1300038,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",128.525094795643,35.8147002604042
나은필병원,A2402812,"충청남도 천안시 동남구 만남로 64, 1층일부,4~9층 (신부동)",127.159326385319,36.8191502671463
나주종합병원,A2600016,전라남도 나주시 영산로 5419 (성북동),126.721436111111117,35.036402777777781
남양주한양병원,A2100041,경기도 남양주시 오남읍 양지로 47-55,127.2043136287129,37.682380941575715
노원을지대학교병원,A1100048,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",127.07000281991385,37.636442927386746
녹색병원,A1100044,서울특별시 중랑구 사가정로49길 53 (면목동),127.08605546969357,37.58362083896108
뉴대성병원,A2100051,"경기도 부천시 원미구 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",126.78381841037,37.492016398433044
단국대학교의과대학부속병원,A2400002,"충청남도 천안시 동남구 망향로 201 (안서동, 단국대학교의과대학부속병원)",127.17327537305154,36.84295215169462
단양군보건의료원,E2300011,"충청북도 단양군 단양읍 삼봉로 53, 단양군보건의료원",128.36667620351827,36.984540593096746
담양사랑병원,A2600054,전라남도 담양군 담양읍 천변7길 19,126.98263077003997,35.31524596036869
당진종합병원,A2400008,충청남도 당진시 반촌로 5-15 (시곡동),126.68435813411776,36.90439755063778
대구가톨릭대학교병원,A1300004,대구광역시 남구 두류공원로17길 33 (대명동),128.56742621424615,35.843065593522674
대구가톨릭대학교칠곡가톨릭병원,A1300005,대구광역시 북구 칠곡중앙대로 440 (읍내동),128.54925198548904,35.934879518784534
대구굿모닝병원,A1300076,대구광역시 남구 성당로 224 (대명동),128.5740666762668,35.85296709243215
대구의료원,A1300007,대구광역시 서구 평리로 157 (중리동),128.5405609266984,35.859623434747526
대구파티마병원,A1300009,대구광역시 동구 아양로 99 (신암동),128.62383509209542,35.88393360650045
대동병원,A1200018,부산광역시 동래구 충렬대로 187 (명륜동),129.08021549527504,35.204273174435535
대림성모병원,A1100037,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",126.90716948025135,37.49068925436284
대송의료재단무안병원,A2600003,전라남도 무안군 무안읍 몽탄로 65,126.48926066040337,34.99175918279295
대아의료재단한도병원,A2100017,경기도 안산시 단원구 선부광장로 103 (선부동),126.80765584591039,37.334033447174896
대자인병원,A2500056,"전북특별자치도 전주시 덕진구 견훤로 390 (우아동3가,(우아동3가))",127.153316348062,35.84599245880299
대전보훈병원,A1600004,대전광역시 대덕구 대청로82번길 147 (신탄진동),127.43940812262,36.4469365928189
대전한국병원,A1600003,대전광역시 동구 동서대로 1672 (성남동),127.43575049626224,36.34831776122198
대전화병원,A1600014,대전광역시 동구 동대전로 39 (신안동),127.43918933617724,36.328994974921144
대진의료재단분당제생병원,A2100025,경기도 성남시 분당구 서현로180번길 20 (서현동),127.12132819639598,37.387871379956906
대청병원,A1602246,"대전광역시 서구 계백로 1322 (정림동, 대청병원)",127.37055327992432,36.308286328996566
더 조은병원,A2803447,경상남도 고성군 고성읍 동외로 142,128.3262148441529,34.97372179164495
더블유병원,A1300110,"대구광역시 달서구 달구벌대로 1632, 1634(2~7층) 더블유병원 (감삼동)",128.54496871658273,35.85264247289801
동국대학교의과대학경주병원,A2700003,경상북도 경주시 동대로 87 (석장동),129.19669937927446,35.85839884416154
동국대학교일산불교병원,A2100047,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",126.8055658392,37.67643677699999
동남권원자력의학원원자력병원,A1200015,부산광역시 기장군 장안읍 좌동길 40,129.24364922146094,35.321418988977406
동두천중앙성모병원,A2100135,경기도 동두천시 동광로 53 (생연동),127.05398051509534,37.90888404022765
동래봉생병원,A1200011,부산광역시 동래구 안연로109번길 27 (안락동),129.0961666077834,35.19694647632553
동아대학교병원,A1200003,부산광역시 서구 대신공원로 26 (동대신동3가),129.01760368790894,35.12000583968841
동아병원,A1500013,광주광역시 남구 대남대로 238 (백운동),126.89990593135208,35.1347601218069
동안산병원,A2100162,경기도 안산시 상록구 월피로 88 (월피동),126.852680642321,37.3356927564414
드림종합병원,A1300034,대구광역시 남구 대명로 153 (대명동),128.5743546304414,35.8396345121582
매듭병원,A2119276,"경기도 수원시 영통구 태장로 68, 매듭병원 (망포동)",127.05354381098,37.2389316890871
메가병원,A2800063,경상남도 김해시 계동로 237 (대청동),128.80394805433366,35.19136230343627
메디인병원,A2100131,경기도 파주시 금릉역로 190(금촌동),126.7748532614,37.75804616829998
명주병원,A2119056,경기도 용인시 처인구 금령로39번길 8-6(김량장동),127.2010438256969,37.235142740879226
명지성모병원,A1100024,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",126.89925446922592,37.4938507104387
목포기독병원,A2600020,전라남도 목포시 백년대로 303 (상동),126.4204245807054,34.80450726279005
목포시의료원,A2600022,"전라남도 목포시 이로로 18 (용해동, (용해동))",126.40538707879497,34.80395500792446
목포한국병원,A2600011,전라남도 목포시 영산로 483 (상동),126.4163391650001,34.8092145829474
무주군보건의료원,E2500019,"전북특별자치도 무주군 무주읍 한풍루로 413, 무주군보건의료원",127.67170265153939,36.00586316008286
무척조은병원,A2100083,경기도 파주시 문산읍 방촌로 1675-20,126.78097787974224,37.86396621605936
문산중앙병원,A2100130,"경기도 파주시 문산읍 문향로39번길 53, 문산중앙병원",126.78322857702757,37.85424810677575
미래로21병원,A1500014,광주광역시 서구 화운로 1 (화정동),126.88528864095338,35.14102639112141
미즈메디병원,A1100046,서울특별시 강서구 강서로 295 (내발산동),126.83602535156236,37.55225379358291
바른마디병원,A2106200,경기도 성남시 중원구 광명로 330 (금광동),127.16256645920153,37.445269636513494
바른병원,A2100180,"경기도 이천시 경충대로 2543, 바른병원 (진리동)",127.45038927398872,37.27373314023728
반도병원,A2800084,경상남도 진주시 남강로 701 (장대동),128.08828232510143,35.19175352096591
베데스다복음병원,A2800019,경상남도 양산시 신기로 28 (신기동),129.04356811738057,35.3532221786617
보성아산병원,A2600052,전라남도 보성군 미력면 가평길 36-17,127.104284083365,34.775470518786
본바른병원,A2803867,"경상남도 양산시 물금읍 청운로 343, 양산바른빌딩 1층일부, 4층~10층",129.0152648627,35.3269948206
봉화해성병원,A2700071,경상북도 봉화군 봉화읍 보밑길 3,128.73350079244224,36.89170700324608
부민병원,A1100036,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",126.85094950539181,37.556940892893586
부산광역시의료원,A1200024,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",129.05917919433943,35.187312651309654
부산대학교병원,A1200002,부산광역시 서구 구덕로 179 (아미동1가),129.01922207984205,35.10105418267188
부산성모병원(재단법인 천주교부산교구유지재단),A1200013,부산광역시 남구 용호로232번길 25-14 (용호동),129.10919202844133,35.110457328247016
부안성모병원,A2500010,전북특별자치도 부안군 부안읍 오정2길 24,126.73452574138332,35.724815399252556
부천세종병원,A2100055,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",126.79116743230001,37.4810049006
부천우리병원,A2100058,"경기도 부천시 오정구 소사로 726, 지하4층~지상5층 (원종동)",126.8051855988659,37.52438752921628
분당서울대학교병원,A2100001,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",127.12448354572743,37.35202597297615
비에스종합병원,A1403617,인천광역시 강화군 강화읍 충렬사로 31,126.4857069547,37.7360530472
비에이치에스한서병원,A1200007,부산광역시 수영구 수영로 615 (광안동),129.1128811328,35.1610460623
빌리브세웅병원,A1206845,부산광역시 동래구 충렬대로 455 (안락동),129.108211921917,35.195932829913
빛가람종합병원,A2602211,전라남도 나주시 정보화길 49-0 (빛가람동),126.798747430459,35.024204844204
빛고을전남대학교병원,A1500078,광주광역시 남구 덕남길 80 (덕남동),126.89638434544385,35.094479626794445
사랑의병원,A1100148,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",126.956285774259,37.4796247835746
산청군보건의료원,E2800380,경상남도 산청군 산청읍 중앙로 97,127.88419591621033,35.4160463200281
삼성서울병원,A1100010,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",127.08668245340024,37.48851613490445
삼성합천병원,A2800055,경상남도 합천군 합천읍 대야로 876,128.16327169035327,35.56635668398722
삼육부산병원,A1200021,부산광역시 서구 대티로 170 (서대신동2가),129.01074979097717,35.11177720675051
삼육서울병원,A1100021,서울특별시 동대문구 망우로 82 (휘경동),127.0653288266823,37.587992001305395
삼일병원,A1300045,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",128.5538551132049,35.8327479530047
삼천포제일병원,A2800101,"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",128.0795128117,34.9375392862
상무병원,A1500022,광주광역시 서구 상무자유로 181-7 (치평동),126.85391840686486,35.15242290709782
상주적십자병원,A2700011,경상북도 상주시 상서문로 53 (남성동),128.15560122041242,36.414640776098004
새금산병원,A2400019,충청남도 금산군 금산읍 비단로 183,127.49620122672218,36.10403152848004
새통영병원,A2800092,경상남도 통영시 무전7길 192 (무전동),128.4206525557243,34.86535758722789
서광병원,A1500020,광주광역시 서구 금화로59번길 6 (금호동),126.85552710578938,35.132568331498724
서산중앙병원,A2400003,충청남도 서산시 수석산업로 5 (수석동),126.50342177166652,36.78101237096687
서울대학교병원,A1100017,서울특별시 종로구 대학로 101 (연건동),126.99896308412191,37.57966608924356
서울대학교치과병원,A1107402,서울특별시 종로구 대학로 101 (연건동),126.997196437908,37.5804523853297
서울산보람병원,A1700001,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",129.12071299840133,35.55991148325753
서울성심병원,A1100050,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",127.04983805981972,37.58419129209865
서울적십자병원,A1100029,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",126.96699861289684,37.56715536263689
서울특별시 동부병원,A1100022,서울특별시 동대문구 무학로 124 (용두동),127.03140257525507,37.57539886464885
서울특별시보라매병원,A1100040,서울특별시 동작구 보라매로5길 20 (신대방동),126.92404876254014,37.4937184009319
서울특별시서남병원,A1100223,서울특별시 양천구 신정이펜1로 20 (신정동),126.8331299304024,37.51201935883779
서울특별시서울의료원,A1100035,서울특별시 중랑구 신내로 156 (신내동),127.0980910949257,37.61286931510163
서울현대병원,A1100172,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",127.028504374531,37.6402559204261
선한병원,A1502006,광주광역시 서구 무진대로 975 (광천동),126.88702689023857,35.161551665649306
성가롤로병원,A2600019,전라남도 순천시 순광로 221 (조례동),127.542308899549,34.9634252378637
성남시의료원,A2116806,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",127.13905704599767,37.44498428779224
성남중앙병원,A2100011,경기도 성남시 중원구 산성대로476번길 12 (금광동),127.16209535008764,37.4528032109466
성모윌병원,A2115807,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",127.1282853418,37.4344473895
성심의료재단강동성심병원,A1100028,서울특별시 강동구 성안로 150 (길동),127.13526354631517,37.53598408220376
성심중앙병원,A2100255,"경기도 평택시 안중읍 안현로서6길 16, 성심중앙병원",126.92773248728593,36.9840021910249
성애의료재단성애병원,A1100054,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",126.92236733617031,37.51205044957338
성주무강병원,A2700030,경상북도 성주군 성주읍 성주읍3길 5-3,128.28669967111344,35.91869489182473
세란병원,A1100032,서울특별시 종로구 통일로 256 (무악동),126.9577071892358,37.57534016994642
세웅병원,A1200081,부산광역시 금정구 서동로 162 (서동),129.10408278932294,35.214424760113644
세일병원,A1200111,"부산광역시 동구 중앙대로 317 (초량동, 세일병원)",129.0445941872797,35.12484866424028
세종여주병원,A2100194,"경기도 여주시 청심로 39, 세종여주병원 (하동)",127.6267201581,37.3013258027
세종충남대학교병원,A1800441,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",127.257942661368,36.5195133641377
송정사랑병원,A1500071,"광주광역시 광산구 송도로 232 (송정동, 송정사랑병원)",126.79736841847565,35.13421179794
수원중앙병원,A2100206,경기도 수원시 권선구 권선로 654 (권선동),127.0228408488501,37.259913344591446
순창군보건의료원,E2500021,전북특별자치도 순창군 순창읍 교성로 135 (순창군보건의료원),127.14386670292174,35.36714953529629
순천의료재단성남정병원,A2100016,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",127.12863916535001,37.43962497395649
순천제일병원,A2600008,전라남도 순천시 기적의도서관1길 3 (조례동),127.52385648056844,34.95422459893048
순천중앙병원,A2600004,전라남도 순천시 장명로 5 (장천동),127.4844113418781,34.95165645129011
순천향대학교 부속 서울병원,A1100004,서울특별시 용산구 대사관로 59 (한남동),127.00441798640304,37.53384172231443
순천향대학교부속구미병원,A2700013,"경상북도 구미시 1공단로 179 (공단동, (공단동))",128.38265476387454,36.10286857919866
순천향대학교부속부천병원,A2100005,경기도 부천시 원미구 조마루로 170 (중동),126.76238239812001,37.49857073407877
시영의료재단 영동병원,A2800138,경상남도 함안군 칠원읍 용산2길 45-13,128.51554361153526,35.308982637512486
신가병원,A1500006,광주광역시 광산구 목련로 316 (신가동),126.829800000000006,35.177619444444446
신촌연세병원,A1100063,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",126.933734666413,37.5525892651719
씨엠병원,A1100045,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",126.90367981067837,37.518848328762154
아산충무병원,A2402257,충청남도 아산시 문화로 381 (모종동),127.01994885495239,36.779292504897654
아주대학교병원,A2100002,경기도 수원시 영통구 월드컵로 164 (원천동),127.04752107106702,37.2794477573662
안동성소병원,A2700004,경상북도 안동시 서동문로 99 (금곡동),128.72245351866203,36.56712693337398
안성성모병원,A2100305,경기도 안성시 시장길 58 (서인동),127.2708442991513,37.00610345894585
안은의료재단 부평세림병원,A1400013,"인천광역시 부평구 부평대로 175 (청천동, 세림병원)",126.71994675790395,37.50684250997099
양산부산대학교병원,A2800011,경상남도 양산시 물금읍 금오로 20,129.00588613550423,35.32781996751182
양주예쓰병원,A2100134,경기도 양주시 회정로 103 (덕정동),127.06463890111564,37.83756356362081
양평병원,A2100089,경기도 양평군 양평읍 중앙로 129,127.50347093330032,37.493962635485616
에스포항병원,A2700008,"경상북도 포항시 남구 희망대로 352 (이동, 에스포항병원)",129.3314002552,36.0348228983
에이치제이매그놀리아국제병원,A2100282,경기도 가평군 설악면 미사리로 267-177,127.52141322182567,37.69104512763415
엘병원,A2118188,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",127.141048740049,37.6487334911668
여수전남병원,A2600010,"전라남도 여수시 좌수영로 49 (광무동, 전남병원)",127.72808408876027,34.74501919502327
여수한국병원,A2601742,전라남도 여수시 여천체육공원길 10 (신기동),127.67509537253795,34.761243178966986
여천전남병원,A2600014,전라남도 여수시 무선로 95 (선원동),127.65404273510529,34.76918041182927
연세대학교원주세브란스기독병원,A2200001,강원특별자치도 원주시 일산로 20 (일산동),127.9456453098751,37.34795543031888
연세대학교의과대학 강남세브란스병원,A1100015,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",127.04631254186797,37.492806984645476
연세대학교의과대학세브란스병원,A1100007,서울특별시 서대문구 연세로 50-1 (신촌동),126.94082769649863,37.56211711412639
연세대학교의과대학용인세브란스병원,A2100020,경기도 용인시 기흥구 동백죽전대로 363 (중동),127.14818862464037,37.270775831978774
연세새로운병원,A2100173,경기도 여주시 영릉로 22 (창동),127.63287952191527,37.289871650589454
연세에스병원,A2800021,경상남도 창원시 진해구 해원로32번길 13 (이동),128.6983352518,35.1547321003
연천군보건의료원,E2100187,경기도 연천군 전곡읍 은대성로 95,127.06124444444444,38.02374166666665
영광종합병원,A2600015,"전라남도 영광군 영광읍 와룡로 3,",126.498940298383,35.2841836238628
영남대학교병원,A1300001,대구광역시 남구 현충로 170 (대명동),128.58513118547506,35.84750592025217
영남대학교의과대학부속영천병원,A2700017,경상북도 영천시 오수1길 10 (오수동),128.91305328332228,35.957320739100794
영도병원,A1200014,부산광역시 영도구 태종로 85 (대교동2가),129.04053714557975,35.09227119620571
영암한국병원,A2600070,전라남도 영암군 영암읍 오리정길 8,126.70116990992957,34.794341315816496
영주기독병원,A2700031,경상북도 영주시 구성로 380 (영주동),128.62114810991983,36.82516126894279
영주자인병원,A2700020,경상북도 영주시 대동로31번길 9 (가흥동),128.60561041705353,36.815947445861305
영주적십자병원,A2702752,"경상북도 영주시 대학로 327-0 (가흥동,영주적십자병원)",128.6040034927,36.8252579707
예산명지병원,A2400015,충청남도 예산군 예산읍 신례원로 26,126.83416958942115,36.71373026149238
오산한국병원,A2100024,경기도 오산시 밀머리로1번길 16 (원동),127.07533756274843,37.14122844920573
오창중앙병원,A2300021,충청북도 청주시 청원구 오창읍 중부로 683,127.42965176665307,36.70680258158961
온누리병원,A2100197,경기도 안산시 단원구 선부로 201 (선부동),126.8175567728982,37.34182861904807
온누리병원,A1400005,인천광역시 서구 완정로 199 (왕길동),126.65430866269227,37.60280557009656
